tmID,year,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fAttempted,fgMade,ftattempted,ftMade,threeAttempted,threeMade,dq
MIN,8,220,137,4941,1989,178,493,671,414,132,55,375,413,1698,732,496,382,390,143,0
MIN,9,294,174,6297,2464,294,661,955,567,209,87,472,541,2160,900,610,503,449,161,5
MIN,10,256,136,5631,2468,324,678,1002,446,247,141,380,626,1994,884,720,570,382,130,9
NYL,2,270,178,7276,2304,312,702,1014,632,270,106,531,656,1916,837,626,470,469,160,7
NYL,3,253,170,6421,2213,261,651,912,558,275,77,414,605,1872,848,515,356,423,161,5
NYL,4,222,159,5909,2016,223,524,747,476,233,77,386,544,1654,742,533,378,415,154,5
NYL,5,220,110,4991,1811,211,502,713,341,191,96,328,398,1533,658,409,325,468,170,3
NYL,6,284,141,6341,2103,210,674,884,531,207,116,461,534,1768,761,449,362,615,219,2
NYL,7,206,58,3570,1153,123,306,429,259,132,54,287,338,953,394,310,255,334,110,1
NYL,8,284,132,5974,1997,259,645,904,381,244,98,428,570,1742,700,528,408,544,189,3
NYL,9,292,167,6650,2361,275,764,1039,497,285,109,571,600,2034,849,570,422,662,241,2
NYL,10,312,162,6315,2379,333,714,1047,512,264,104,468,603,2012,850,609,453,618,226,4
ORL,2,231,129,5165,1725,280,533,813,404,218,127,393,502,1465,640,493,355,261,90,4
ORL,3,319,188,7290,2452,403,781,1184,469,344,142,568,761,2172,889,684,496,547,178,5
PHO,2,262,136,5613,1978,227,530,757,406,256,85,384,526,1652,718,540,423,383,119,5
PHO,3,252,99,4508,1337,187,456,643,321,181,65,369,425,1268,489,414,295,203,64,1
PHO,4,340,127,6328,1847,343,629,972,469,323,87,516,661,1701,700,500,351,298,96,1
PHO,5,275,186,6459,2142,383,679,1062,314,261,110,405,627,1968,806,610,423,325,107,10
PHO,6,289,166,6419,2338,294,637,931,468,246,101,427,672,1938,826,652,497,514,189,16
PHO,7,240,143,5304,1855,231,524,755,493,195,93,377,559,1499,649,508,399,474,158,8
PHO,8,317,164,7185,3375,316,796,1112,627,284,130,481,721,2821,1222,750,588,918,343,9
PHO,9,252,139,5380,2231,195,643,838,548,205,114,372,488,1867,797,518,419,626,218,3
PHO,10,265,168,5699,2720,280,686,966,506,214,118,403,646,2237,960,706,584,671,216,9
POR,2,259,178,6230,2073,299,633,932,450,244,94,490,667,1732,733,666,485,380,122,9
POR,3,303,159,6334,1896,281,706,987,513,251,100,455,568,1640,668,566,410,405,150,3
SAC,2,303,206,6998,2685,388,691,1079,611,328,201,517,610,2263,1006,755,536,452,137,6
SAC,3,313,160,6685,2295,378,732,1110,565,273,160,493,605,1978,838,628,460,411,159,5
SAC,4,224,147,5785,2106,301,617,918,410,220,125,394,592,1802,778,633,477,236,73,6
SAC,5,319,166,6675,2263,340,704,1044,556,295,119,439,625,2060,845,624,424,471,149,7
SAC,6,268,111,5468,1767,335,562,897,429,262,100,406,539,1491,652,520,365,272,98,3
SAC,7,246,136,5547,2029,306,604,910,437,255,91,389,510,1722,741,620,431,314,116,1
SAC,8,370,142,6881,2351,394,832,1226,523,320,81,473,637,2079,836,739,521,462,158,2
SAC,9,237,136,5091,1902,356,578,934,388,236,72,379,437,1682,673,547,435,349,121,4
SAC,10,322,160,6498,2511,348,682,1030,489,331,75,507,638,2063,863,751,582,493,203,3
SAS,4,236,174,6176,2338,291,613,904,493,206,182,502,588,1945,835,758,586,254,82,3
SAS,5,353,220,8012,2962,474,1015,1489,565,289,178,626,760,2667,1089,1000,730,236,54,6
SAS,6,214,141,4352,1480,156,396,552,290,147,31,302,402,1260,535,416,331,220,79,3
SAS,7,185,123,4417,1276,116,363,479,380,118,34,332,372,1057,446,362,294,260,90,6
SAS,8,217,182,5247,1825,247,646,893,450,187,92,360,483,1668,682,452,361,296,100,2
SAS,9,177,137,4477,1660,186,485,671,442,181,95,344,415,1420,619,374,307,309,115,1
SAS,10,221,147,5467,2203,187,710,897,518,217,111,402,460,1783,792,582,477,428,142,3
SEA,2,283,106,5375,1494,195,465,660,369,219,85,448,579,1404,544,481,305,330,101,5
