tmID,year,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fAttempted,fgMade,ftattempted,ftMade,threeAttempted,threeMade,dq
LAS,2,30.11,21.0,742.67,287.0,38.11,97.56,135.67,67.89,31.78,19.11,53.33,84.0,231.56,104.89,79.11,62.0,43.22,15.22,1.78
LAS,3,55.64,34.45,1298.82,503.55,71.45,158.64,230.09,97.64,52.18,30.36,90.91,135.73,424.73,183.82,138.27,105.55,89.55,30.36,2.09
LAS,4,52.54,32.62,1227.31,473.38,62.77,144.69,207.46,95.23,48.38,29.69,89.46,127.31,404.15,174.85,119.15,89.54,95.62,34.15,2.38
LAS,5,57.88,53.38,1737.0,624.38,74.38,208.88,283.25,169.5,63.38,46.25,134.5,164.75,521.75,225.0,179.12,136.38,108.62,38.0,3.38
LAS,6,40.75,28.83,1076.0,437.83,50.92,139.92,190.83,98.75,39.92,24.75,80.33,104.25,371.33,159.42,122.92,95.33,67.5,23.67,1.0
LAS,7,50.22,27.44,1167.44,430.67,53.56,148.11,201.67,96.89,46.22,31.44,81.44,121.33,374.0,165.22,117.11,84.78,46.56,15.44,1.56
LAS,8,45.92,21.54,958.08,335.77,52.31,114.0,166.31,74.46,36.0,14.15,64.31,98.46,293.31,129.38,86.23,67.62,35.0,9.38,1.0
LAS,9,51.73,31.18,1069.09,400.55,55.36,155.0,210.36,83.73,38.45,31.0,86.64,116.36,352.18,152.09,99.55,75.82,61.09,20.55,1.36
LAS,10,50.22,39.89,1311.11,571.0,69.33,180.89,250.22,117.11,50.33,35.11,126.78,116.44,489.78,204.78,156.11,124.56,111.0,36.89,0.89
MIA,2,30.25,20.5,698.25,203.5,39.5,65.25,104.75,45.38,28.75,7.5,48.25,68.0,190.12,74.12,71.25,48.5,25.88,6.75,0.38
MIA,3,47.45,30.0,1046.27,336.91,55.55,103.82,159.36,73.18,45.27,13.82,71.91,101.09,305.27,124.18,85.55,63.55,75.82,25.0,0.82
MIN,2,29.0,12.86,545.57,227.57,21.86,47.43,69.29,40.43,21.0,6.86,43.86,61.57,189.43,79.43,57.71,44.71,64.29,24.0,0.86
MIN,3,36.0,17.8,755.9,311.3,35.7,76.7,112.4,48.3,26.7,11.2,60.4,75.3,259.5,102.5,96.7,77.0,83.9,29.3,1.0
MIN,4,50.22,28.33,1162.22,422.0,51.89,113.33,165.22,77.67,43.11,16.89,84.56,104.89,374.0,150.22,120.11,88.22,104.56,33.33,1.22
MIN,5,50.83,39.83,1303.17,441.83,53.33,123.5,176.83,118.5,49.17,21.5,109.0,132.0,386.0,154.33,119.0,86.83,138.83,46.33,2.17
MIN,6,41.18,15.36,790.82,286.36,33.27,77.18,110.45,61.09,28.82,16.91,62.36,78.0,245.55,100.09,76.09,57.64,80.0,28.55,0.64
MIN,7,51.25,20.5,933.5,331.5,44.5,97.38,141.88,71.75,34.12,25.5,81.12,98.62,297.25,121.38,98.5,69.88,53.38,18.88,0.62
MIN,8,43.5,25.25,931.38,358.62,35.62,92.75,128.38,79.12,28.88,11.0,74.5,80.25,304.0,130.62,94.5,72.88,67.12,24.5,0.12
MIN,9,45.91,28.27,1017.27,402.09,50.36,117.45,167.82,80.18,32.18,19.73,72.18,95.0,347.55,148.64,102.64,81.91,63.18,22.91,0.73
MIN,10,43.0,25.22,970.56,438.56,53.56,114.78,168.33,80.67,40.56,19.56,68.33,102.0,351.67,160.0,118.56,95.33,66.44,23.22,1.33
NYL,2,30.0,19.78,808.44,256.0,34.67,78.0,112.67,70.22,30.0,11.78,59.0,72.89,212.89,93.0,69.56,52.22,52.11,17.78,0.78
NYL,3,55.67,39.11,1477.0,506.56,61.78,147.56,209.33,123.0,61.56,19.89,101.78,137.89,424.67,190.56,124.44,90.44,95.0,35.0,1.44
NYL,4,49.56,38.44,1356.22,474.78,51.78,132.78,184.56,112.89,53.33,19.78,86.0,120.22,397.0,178.56,112.89,80.22,98.67,37.44,1.11
NYL,5,40.7,24.5,1020.5,375.6,43.7,100.3,144.0,66.5,37.0,16.6,65.9,86.5,311.4,139.7,82.8,64.4,85.7,31.8,0.7
NYL,6,42.36,19.91,915.91,318.36,28.82,90.55,119.36,71.91,30.64,17.27,62.45,73.91,264.91,115.27,64.0,53.18,96.64,34.64,0.18
NYL,7,40.5,10.5,709.7,236.7,24.5,63.2,87.7,52.7,24.3,10.9,58.0,64.4,197.9,82.9,61.4,48.5,67.6,22.4,0.1
NYL,8,49.33,16.11,903.0,287.78,40.89,95.33,136.22,54.33,35.0,14.78,65.89,90.0,252.11,100.78,79.0,60.44,76.44,25.78,0.44
NYL,9,53.9,24.9,1145.3,395.1,46.5,127.3,173.8,82.8,47.1,20.0,90.8,103.3,339.6,139.0,98.3,73.8,120.7,43.3,0.4
NYL,10,54.7,30.9,1224.6,452.4,60.1,140.7,200.8,94.9,52.9,19.3,94.4,115.3,387.4,162.3,110.5,82.2,121.8,45.6,0.6
ORL,2,28.88,16.12,645.62,215.62,35.0,66.62,101.62,50.5,27.25,15.88,49.12,62.75,183.12,80.0,61.62,44.38,32.62,11.25,0.5
ORL,3,49.62,29.15,1145.38,397.23,61.54,121.38,182.92,75.69,47.62,22.0,84.69,115.38,345.08,147.62,105.77,76.46,77.31,25.54,1.0
PHO,2,23.82,12.36,510.27,179.82,20.64,48.18,68.82,36.91,23.27,7.73,34.91,47.82,150.18,65.27,49.09,38.45,34.82,10.82,0.45
PHO,3,38.46,18.77,768.15,259.54,35.08,78.31,113.38,48.85,29.46,13.77,58.92,71.38,231.46,98.69,71.08,51.23,33.92,10.92,0.38
PHO,4,42.93,13.29,757.64,202.5,37.43,74.71,112.14,56.43,37.43,9.71,59.93,77.0,192.07,76.29,58.71,40.21,32.07,9.71,0.14
PHO,5,50.67,33.33,1196.89,392.44,66.67,129.22,195.89,66.78,48.56,20.44,84.0,117.89,349.33,144.33,111.67,82.11,65.11,21.67,1.44
PHO,6,49.18,32.18,1165.09,403.27,59.64,112.0,171.64,74.18,42.91,18.45,71.09,114.64,342.45,145.0,114.27,84.0,80.45,29.27,2.36
PHO,7,47.0,26.82,1034.73,352.91,44.55,101.18,145.73,91.09,39.55,15.91,73.18,108.0,297.18,125.64,90.27,71.45,85.18,30.18,2.09
PHO,8,50.67,25.75,1092.08,457.67,46.83,109.92,156.75,90.33,42.17,20.83,77.67,112.33,384.08,164.42,110.25,87.0,117.75,41.83,1.25
